R	53.334	-6.37868	A215	14 Feb 2026	A215\n12:25 - Cork to Dublin Heuston (-4 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3397	-6.23773	E816	14 Feb 2026	E816\n14:12 - Bray to Malahide (11 mins late)\nDeparted Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.347	-6.25425	E224	14 Feb 2026	E224\n14:33 - Malahide to Bray (0 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
R	53.3629	-6.22753	P717	14 Feb 2026	P717\n14:05 - Drogheda to Dublin Connolly (1 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3755	-6.33135	D918	14 Feb 2026	D918\n14:47 - Dublin Connolly to Maynooth (1 mins late)\nArrived Ashtown next stop Navan Road Parkway	Northbound
R	53.3777	-6.34591	P756	14 Feb 2026	P756\n14:38 - Maynooth to Dublin Connolly (0 mins late)\nArrived Navan Road Parkway next stop Ashtown	Southbound
R	53.3786	-6.19131	E108	14 Feb 2026	E108\n14:46 - Howth to Greystones (1 mins late)\nDeparted Harmonstown next stop Killester	Southbound
R	53.3815	-6.17699	A118	14 Feb 2026	A118\n14:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Raheny next stop Drogheda	Northbound
R	53.387	-6.16163	E915	14 Feb 2026	E915\n13:57 - Bray to Howth (4 mins late)\nDeparted Kilbarrack next stop Howth Junction	Northbound
R	53.4032	-6.14839	A115	14 Feb 2026	A115\n13:00 - Belfast to Dublin Connolly (-1 mins late)\nDeparted Clongriffin next stop Dublin Connolly	Southbound
R	53.4157	-6.83395	B941	14 Feb 2026	B941\n13:45 - Longford to Dublin Connolly (8 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4273	-7.93683	A807	14 Feb 2026	A807\n13:10 - Westport to Dublin Heuston (0 mins late)\nDeparted Athlone next stop Clara	To Dublin Heuston
R	53.5741	-6.11933	D814	14 Feb 2026	D814\n14:18 - Dublin Connolly to Drogheda (3 mins late)\nDeparted Skerries next stop Balbriggan	Northbound
R	53.638	-6.21705	P718	14 Feb 2026	P718\n14:48 - Drogheda to Dublin Connolly (0 mins late)\nArrived Gormanston next stop Balbriggan	Southbound
R	53.6888	-7.60299	A909	14 Feb 2026	A909\n13:05 - Sligo to Dublin Connolly (13 mins late)\nDeparted Edgeworthstown next stop Mullingar	Southbound
R	53.7243	-7.79574	A906	14 Feb 2026	A906\n13:05 - Dublin Connolly to Sligo (12 mins late)\nArrived Longford next stop Dromod	Northbound
R	54.0007	-6.41291	A114	14 Feb 2026	A114\n12:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A116	14 Feb 2026	A116\n13:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	52.1396	-8.65521	A309	14 Feb 2026	A309\n13:05 - Tralee to Mallow(21 mins late)\nTERMINATED Mallow at 14:58	To Mallow
T	53.3531	-6.24591	P755	14 Feb 2026	P755\n14:08 - Maynooth to Dublin Connolly(1 mins late)\nTERMINATED Dublin Connolly at 14:53	Southbound
T	53.378	-6.58993	D917	14 Feb 2026	D917\n14:17 - Dublin Connolly to Maynooth(0 mins late)\nTERMINATED Maynooth at 14:59	Northbound
